Voting_Preference,State_Code_FIPS,Year_of_Study,Thermometer_Liberals,Thermometer_Conservatives,Thermometer_Gays_and_Lesbians,Thermometer_Feminists
Democrat,19.0,2020,97.0,30.0,97.0,97.0
Republican,4.0,2020,0.0,97.0,15.0,0.0
Democrat,16.0,2020,85.0,0.0,85.0,85.0
Democrat,6.0,2020,85.0,30.0,97.0,90.0
Major Third Party,12.0,2020,30.0,70.0,70.0,50.0
Republican,48.0,2020,0.0,70.0,0.0,0.0
Republican,5.0,2020,99.0,99.0,99.0,99.0
Democrat,11.0,2020,80.0,15.0,50.0,50.0
Democrat,36.0,2020,0.0,0.0,70.0,0.0
Republican,48.0,2020,70.0,70.0,85.0,50.0
Democrat,36.0,2020,97.0,30.0,85.0,85.0
Democrat,37.0,2020,50.0,15.0,50.0,50.0
Did not vote,26.0,2020,99.0,99.0,99.0,99.0
Republican,40.0,2020,15.0,97.0,97.0,70.0
Democrat,12.0,2020,70.0,40.0,30.0,60.0
Did not vote,53.0,2020,99.0,99.0,99.0,99.0
Republican,40.0,2020,0.0,97.0,50.0,50.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Republican,24.0,2020,15.0,97.0,60.0,15.0
Democrat,6.0,2020,70.0,85.0,97.0,70.0
Democrat,25.0,2020,70.0,70.0,85.0,85.0
Democrat,8.0,2020,70.0,60.0,70.0,85.0
Republican,55.0,2020,0.0,85.0,0.0,0.0
Democrat,45.0,2020,70.0,30.0,50.0,60.0
Did not vote,51.0,2020,50.0,50.0,50.0,75.0
Democrat,29.0,2020,85.0,10.0,80.0,85.0
Democrat,34.0,2020,50.0,15.0,60.0,50.0
Democrat,24.0,2020,60.0,60.0,50.0,85.0
Republican,30.0,2020,30.0,70.0,0.0,10.0
Democrat,4.0,2020,60.0,15.0,50.0,40.0
Did not vote,54.0,2020,50.0,85.0,50.0,60.0
Republican,42.0,2020,50.0,50.0,50.0,50.0
Democrat,50.0,2020,50.0,40.0,85.0,85.0
Democrat,36.0,2020,60.0,60.0,85.0,99.0
Democrat,38.0,2020,85.0,30.0,85.0,60.0
Democrat,48.0,2020,60.0,70.0,70.0,85.0
Democrat,24.0,2020,7.0,7.0,7.0,5.0
Republican,1.0,2020,15.0,97.0,50.0,15.0
Democrat,1.0,2020,50.0,60.0,50.0,50.0
Democrat,48.0,2020,70.0,40.0,0.0,85.0
Republican,53.0,2020,40.0,70.0,40.0,40.0
Republican,37.0,2020,15.0,85.0,75.0,75.0
Democrat,53.0,2020,85.0,30.0,97.0,70.0
Did not vote,18.0,2020,15.0,70.0,15.0,50.0
Democrat,42.0,2020,85.0,40.0,97.0,97.0
Republican,49.0,2020,50.0,85.0,85.0,70.0
Democrat,36.0,2020,20.0,50.0,50.0,50.0
Democrat,36.0,2020,97.0,50.0,97.0,97.0
Democrat,24.0,2020,70.0,15.0,70.0,70.0
Republican,37.0,2020,50.0,80.0,50.0,65.0
Republican,26.0,2020,15.0,70.0,50.0,50.0
Did not vote,54.0,2020,50.0,50.0,97.0,50.0
Democrat,17.0,2020,97.0,0.0,50.0,97.0
Major Third Party,12.0,2020,50.0,40.0,50.0,85.0
Did not vote,48.0,2020,50.0,50.0,50.0,50.0
Democrat,8.0,2020,50.0,50.0,70.0,60.0
Democrat,39.0,2020,50.0,50.0,60.0,50.0
Did not vote,17.0,2020,15.0,60.0,50.0,15.0
Did not vote,55.0,2020,50.0,70.0,85.0,60.0
Did not vote,30.0,2020,50.0,50.0,50.0,50.0
Republican,12.0,2020,0.0,85.0,0.0,20.0
Democrat,17.0,2020,30.0,0.0,85.0,60.0
Republican,13.0,2020,0.0,97.0,5.0,0.0
Republican,8.0,2020,30.0,70.0,50.0,60.0
Republican,34.0,2020,40.0,60.0,97.0,97.0
Did not vote,48.0,2020,99.0,99.0,99.0,99.0
Did not vote,21.0,2020,50.0,50.0,50.0,50.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Republican,48.0,2020,30.0,97.0,40.0,60.0
Did not vote,6.0,2020,50.0,29.0,30.0,50.0
Democrat,26.0,2020,97.0,50.0,97.0,97.0
Did not vote,42.0,2020,97.0,30.0,40.0,40.0
Did not vote,21.0,2020,0.0,97.0,97.0,97.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Democrat,19.0,2020,70.0,60.0,70.0,85.0
Republican,12.0,2020,0.0,85.0,50.0,50.0
Republican,1.0,2020,40.0,85.0,50.0,50.0
Democrat,37.0,2020,0.0,50.0,0.0,0.0
Did not vote,45.0,2020,60.0,70.0,60.0,85.0
Republican,29.0,2020,0.0,97.0,50.0,50.0
Did not vote,17.0,2020,50.0,70.0,50.0,97.0
Democrat,47.0,2020,50.0,50.0,50.0,50.0
Republican,19.0,2020,0.0,97.0,97.0,50.0
Did not vote,12.0,2020,50.0,50.0,0.0,50.0
Did not vote,36.0,2020,99.0,99.0,99.0,99.0
Democrat,51.0,2020,60.0,45.0,70.0,70.0
Democrat,36.0,2020,50.0,50.0,50.0,85.0
Major Third Party,55.0,2020,50.0,50.0,50.0,50.0
Did not vote,48.0,2020,50.0,50.0,60.0,30.0
Democrat,27.0,2020,50.0,99.0,70.0,50.0
Republican,4.0,2020,15.0,15.0,30.0,30.0
Democrat,26.0,2020,70.0,10.0,65.0,60.0
Republican,34.0,2020,60.0,60.0,97.0,85.0
Did not vote,53.0,2020,0.0,60.0,50.0,30.0
Republican,37.0,2020,50.0,20.0,30.0,60.0
Republican,16.0,2020,15.0,85.0,15.0,50.0
Democrat,13.0,2020,40.0,65.0,55.0,50.0
Republican,22.0,2020,30.0,80.0,90.0,45.0
Democrat,48.0,2020,50.0,50.0,50.0,97.0
Republican,48.0,2020,0.0,97.0,0.0,80.0
Democrat,6.0,2020,70.0,30.0,85.0,40.0
Democrat,24.0,2020,50.0,50.0,50.0,50.0
Democrat,51.0,2020,70.0,60.0,97.0,95.0
Democrat,45.0,2020,70.0,85.0,50.0,60.0
Republican,37.0,2020,15.0,97.0,40.0,40.0
Democrat,51.0,2020,97.0,50.0,97.0,97.0
Republican,9.0,2020,70.0,70.0,97.0,97.0
Did not vote,13.0,2020,99.0,99.0,99.0,99.0
Major Third Party,41.0,2020,50.0,50.0,50.0,50.0
Did not vote,35.0,2020,0.0,85.0,85.0,97.0
Democrat,36.0,2020,70.0,35.0,60.0,70.0
Democrat,36.0,2020,85.0,1.0,90.0,90.0
Republican,12.0,2020,40.0,40.0,50.0,50.0
Did not vote,49.0,2020,99.0,99.0,99.0,99.0
Did not vote,6.0,2020,70.0,40.0,50.0,70.0
Did not vote,28.0,2020,30.0,60.0,50.0,40.0
Democrat,31.0,2020,70.0,50.0,85.0,85.0
Did not vote,51.0,2020,99.0,99.0,99.0,99.0
Democrat,33.0,2020,55.0,60.0,97.0,0.0
Republican,18.0,2020,40.0,70.0,60.0,60.0
Democrat,36.0,2020,70.0,40.0,97.0,60.0
Democrat,34.0,2020,60.0,50.0,50.0,70.0
Republican,6.0,2020,30.0,85.0,50.0,60.0
Did not vote,12.0,2020,99.0,99.0,99.0,99.0
Republican,12.0,2020,30.0,85.0,97.0,50.0
Democrat,41.0,2020,50.0,70.0,97.0,40.0
Republican,1.0,2020,0.0,85.0,50.0,0.0
Republican,49.0,2020,0.0,97.0,90.0,10.0
Major Third Party,8.0,2020,60.0,15.0,50.0,70.0
Republican,8.0,2020,30.0,85.0,50.0,0.0
Did not vote,21.0,2020,99.0,99.0,99.0,99.0
Republican,18.0,2020,40.0,50.0,50.0,50.0
Did not vote,21.0,2020,50.0,50.0,97.0,85.0
Republican,55.0,2020,0.0,85.0,40.0,50.0
Did not vote,13.0,2020,50.0,50.0,97.0,79.0
Republican,48.0,2020,0.0,97.0,15.0,70.0
Democrat,6.0,2020,85.0,15.0,97.0,85.0
Democrat,6.0,2020,40.0,5.0,97.0,90.0
Democrat,26.0,2020,60.0,40.0,97.0,75.0
Republican,12.0,2020,50.0,50.0,50.0,70.0
Did not vote,42.0,2020,35.0,70.0,50.0,45.0
Democrat,26.0,2020,97.0,60.0,30.0,97.0
Did not vote,12.0,2020,99.0,99.0,99.0,99.0
Republican,1.0,2020,50.0,85.0,85.0,85.0
Democrat,36.0,2020,70.0,50.0,70.0,70.0
Republican,6.0,2020,0.0,50.0,50.0,0.0
Republican,29.0,2020,15.0,70.0,50.0,15.0
Did not vote,41.0,2020,0.0,15.0,50.0,15.0
Did not vote,17.0,2020,50.0,50.0,50.0,50.0
Democrat,26.0,2020,50.0,50.0,97.0,85.0
Democrat,31.0,2020,90.0,25.0,65.0,90.0
Democrat,55.0,2020,85.0,40.0,70.0,85.0
Republican,12.0,2020,15.0,70.0,50.0,40.0
Republican,25.0,2020,50.0,50.0,0.0,50.0
Major Third Party,42.0,2020,50.0,60.0,97.0,85.0
Democrat,1.0,2020,97.0,15.0,97.0,97.0
Republican,39.0,2020,40.0,60.0,97.0,50.0
Democrat,42.0,2020,70.0,40.0,80.0,70.0
Republican,15.0,2020,10.0,40.0,90.0,85.0
Did not vote,33.0,2020,99.0,99.0,99.0,99.0
Republican,12.0,2020,15.0,97.0,50.0,50.0
Democrat,12.0,2020,85.0,50.0,97.0,30.0
Republican,48.0,2020,0.0,97.0,50.0,50.0
Republican,40.0,2020,15.0,97.0,0.0,0.0
Did not vote,8.0,2020,15.0,50.0,85.0,70.0
Republican,37.0,2020,50.0,85.0,50.0,85.0
Democrat,45.0,2020,85.0,60.0,50.0,50.0
Democrat,6.0,2020,85.0,10.0,80.0,97.0
Did not vote,40.0,2020,50.0,50.0,50.0,50.0
Democrat,6.0,2020,51.0,49.0,50.0,49.0
Democrat,1.0,2020,60.0,50.0,50.0,70.0
Did not vote,13.0,2020,99.0,99.0,99.0,99.0
Democrat,6.0,2020,99.0,99.0,99.0,99.0
Democrat,37.0,2020,80.0,50.0,97.0,97.0
Democrat,34.0,2020,50.0,50.0,97.0,50.0
Republican,51.0,2020,0.0,90.0,70.0,25.0
Democrat,39.0,2020,50.0,50.0,50.0,70.0
Did not vote,18.0,2020,99.0,99.0,99.0,99.0
Democrat,6.0,2020,80.0,50.0,97.0,97.0
Democrat,48.0,2020,50.0,15.0,80.0,40.0
Did not vote,40.0,2020,99.0,99.0,99.0,99.0
Major Third Party,27.0,2020,99.0,99.0,99.0,99.0
Did not vote,42.0,2020,50.0,50.0,50.0,50.0
Democrat,6.0,2020,97.0,30.0,97.0,97.0
Democrat,13.0,2020,70.0,50.0,40.0,40.0
Republican,39.0,2020,5.0,85.0,40.0,0.0
Democrat,45.0,2020,70.0,5.0,60.0,45.0
Did not vote,48.0,2020,85.0,99.0,97.0,50.0
Democrat,8.0,2020,70.0,35.0,69.0,75.0
Republican,49.0,2020,15.0,80.0,80.0,30.0
Republican,13.0,2020,60.0,30.0,70.0,50.0
Democrat,34.0,2020,70.0,70.0,97.0,70.0
Republican,46.0,2020,10.0,97.0,10.0,10.0
Republican,18.0,2020,20.0,75.0,5.0,10.0
Democrat,17.0,2020,90.0,15.0,97.0,97.0
Democrat,6.0,2020,85.0,40.0,70.0,97.0
Did not vote,21.0,2020,99.0,99.0,99.0,99.0
Did not vote,27.0,2020,99.0,99.0,99.0,99.0
Did not vote,22.0,2020,99.0,99.0,99.0,99.0
Democrat,48.0,2020,70.0,60.0,50.0,40.0
Democrat,27.0,2020,70.0,0.0,70.0,60.0
Did not vote,6.0,2020,50.0,60.0,50.0,50.0
Did not vote,37.0,2020,99.0,99.0,99.0,99.0
Republican,4.0,2020,35.0,50.0,97.0,60.0
Did not vote,53.0,2020,50.0,50.0,50.0,97.0
Did not vote,24.0,2020,30.0,75.0,50.0,50.0
Democrat,6.0,2020,60.0,15.0,60.0,60.0
Republican,6.0,2020,30.0,60.0,50.0,40.0
Major Third Party,48.0,2020,30.0,15.0,50.0,40.0
Republican,39.0,2020,60.0,50.0,50.0,70.0
Democrat,12.0,2020,75.0,59.0,85.0,85.0
Democrat,36.0,2020,50.0,15.0,40.0,50.0
Did not vote,13.0,2020,99.0,99.0,99.0,99.0
Republican,6.0,2020,50.0,85.0,99.0,50.0
Republican,47.0,2020,0.0,95.0,50.0,0.0
Democrat,32.0,2020,70.0,0.0,97.0,75.0
Democrat,17.0,2020,60.0,50.0,70.0,60.0
Did not vote,36.0,2020,50.0,50.0,50.0,50.0
Republican,35.0,2020,15.0,97.0,50.0,50.0
Did not vote,20.0,2020,99.0,99.0,99.0,99.0
Republican,37.0,2020,20.0,85.0,30.0,20.0
Democrat,34.0,2020,60.0,50.0,85.0,85.0
Democrat,18.0,2020,85.0,60.0,85.0,97.0
Democrat,48.0,2020,97.0,99.0,97.0,40.0
Democrat,26.0,2020,55.0,45.0,50.0,50.0
Democrat,32.0,2020,70.0,70.0,70.0,85.0
Did not vote,17.0,2020,99.0,99.0,99.0,99.0
Did not vote,36.0,2020,99.0,99.0,99.0,99.0
Democrat,47.0,2020,85.0,15.0,97.0,97.0
Republican,45.0,2020,50.0,50.0,45.0,70.0
Democrat,41.0,2020,70.0,15.0,70.0,60.0
Did not vote,6.0,2020,50.0,50.0,97.0,97.0
Democrat,39.0,2020,85.0,0.0,70.0,97.0
Democrat,12.0,2020,50.0,85.0,50.0,97.0
Did not vote,45.0,2020,99.0,99.0,99.0,99.0
Democrat,11.0,2020,60.0,75.0,97.0,90.0
Democrat,6.0,2020,65.0,50.0,65.0,80.0
Did not vote,29.0,2020,99.0,99.0,99.0,99.0
Republican,21.0,2020,70.0,70.0,90.0,75.0
Republican,49.0,2020,30.0,85.0,50.0,40.0
Did not vote,49.0,2020,60.0,50.0,70.0,40.0
Did not vote,37.0,2020,99.0,99.0,99.0,99.0
Democrat,12.0,2020,70.0,70.0,70.0,70.0
Democrat,46.0,2020,85.0,85.0,97.0,97.0
Democrat,55.0,2020,55.0,0.0,97.0,97.0
Did not vote,9.0,2020,50.0,50.0,60.0,60.0
Did not vote,19.0,2020,50.0,50.0,50.0,50.0
Democrat,28.0,2020,70.0,6.0,70.0,60.0
Did not vote,48.0,2020,70.0,70.0,97.0,97.0
Republican,31.0,2020,0.0,85.0,15.0,70.0
Democrat,51.0,2020,70.0,15.0,97.0,85.0
Republican,47.0,2020,30.0,60.0,90.0,60.0
Democrat,17.0,2020,97.0,30.0,97.0,97.0
Democrat,11.0,2020,85.0,35.0,85.0,85.0
Democrat,51.0,2020,70.0,15.0,97.0,97.0
Did not vote,26.0,2020,99.0,99.0,99.0,99.0
Democrat,13.0,2020,0.0,50.0,50.0,50.0
Republican,9.0,2020,15.0,70.0,15.0,40.0
Did not vote,51.0,2020,70.0,60.0,50.0,60.0
Democrat,26.0,2020,85.0,30.0,97.0,85.0
Republican,13.0,2020,30.0,85.0,60.0,60.0
Republican,12.0,2020,40.0,97.0,85.0,70.0
Democrat,6.0,2020,85.0,40.0,85.0,85.0
Did not vote,54.0,2020,50.0,60.0,60.0,50.0
Democrat,48.0,2020,60.0,75.0,50.0,65.0
Democrat,25.0,2020,40.0,60.0,40.0,50.0
Democrat,34.0,2020,70.0,0.0,60.0,85.0
Democrat,24.0,2020,70.0,70.0,0.0,97.0
Democrat,13.0,2020,75.0,50.0,76.0,85.0
Republican,48.0,2020,15.0,97.0,40.0,30.0
Republican,48.0,2020,30.0,85.0,97.0,40.0
Republican,28.0,2020,0.0,85.0,30.0,50.0
Democrat,42.0,2020,80.0,45.0,85.0,85.0
Republican,8.0,2020,40.0,40.0,85.0,60.0
Republican,9.0,2020,99.0,99.0,99.0,99.0
Did not vote,17.0,2020,99.0,99.0,99.0,99.0
Did not vote,24.0,2020,50.0,50.0,50.0,50.0
Republican,17.0,2020,20.0,97.0,90.0,30.0
Did not vote,12.0,2020,50.0,70.0,50.0,50.0
Republican,48.0,2020,0.0,60.0,60.0,0.0
Democrat,53.0,2020,15.0,15.0,97.0,85.0
Democrat,53.0,2020,80.0,55.0,90.0,80.0
Republican,12.0,2020,50.0,50.0,50.0,70.0
Republican,48.0,2020,50.0,60.0,50.0,40.0
Republican,37.0,2020,40.0,85.0,40.0,60.0
Democrat,29.0,2020,70.0,50.0,50.0,50.0
Did not vote,15.0,2020,70.0,60.0,70.0,70.0
Democrat,17.0,2020,85.0,30.0,85.0,70.0
Republican,12.0,2020,15.0,15.0,85.0,40.0
Democrat,22.0,2020,85.0,99.0,85.0,85.0
Democrat,53.0,2020,70.0,10.0,90.0,80.0
Democrat,24.0,2020,70.0,70.0,70.0,70.0
Republican,5.0,2020,30.0,85.0,50.0,50.0
Major Third Party,1.0,2020,30.0,50.0,50.0,30.0
Democrat,25.0,2020,70.0,30.0,70.0,75.0
Democrat,24.0,2020,70.0,60.0,50.0,50.0
Republican,37.0,2020,0.0,75.0,0.0,0.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Republican,40.0,2020,50.0,70.0,99.0,60.0
Democrat,32.0,2020,85.0,99.0,97.0,70.0
Democrat,36.0,2020,85.0,30.0,97.0,97.0
Democrat,27.0,2020,85.0,30.0,99.0,85.0
Democrat,41.0,2020,50.0,50.0,50.0,40.0
Republican,47.0,2020,0.0,97.0,15.0,15.0
Republican,47.0,2020,40.0,70.0,50.0,30.0
Did not vote,48.0,2020,70.0,50.0,60.0,85.0
Democrat,27.0,2020,70.0,60.0,85.0,85.0
Did not vote,12.0,2020,99.0,99.0,99.0,99.0
Democrat,17.0,2020,97.0,30.0,97.0,85.0
Republican,18.0,2020,0.0,97.0,60.0,0.0
Democrat,36.0,2020,60.0,0.0,97.0,75.0
Republican,29.0,2020,50.0,50.0,30.0,50.0
Did not vote,13.0,2020,40.0,50.0,50.0,50.0
Did not vote,45.0,2020,60.0,50.0,85.0,85.0
Republican,29.0,2020,0.0,95.0,45.0,25.0
Republican,42.0,2020,70.0,65.0,50.0,70.0
Did not vote,48.0,2020,97.0,0.0,97.0,70.0
Democrat,12.0,2020,70.0,30.0,50.0,50.0
Did not vote,53.0,2020,15.0,70.0,30.0,15.0
Democrat,24.0,2020,50.0,50.0,30.0,97.0
Democrat,45.0,2020,50.0,50.0,97.0,75.0
Democrat,18.0,2020,50.0,50.0,50.0,50.0
Democrat,12.0,2020,85.0,40.0,85.0,70.0
Did not vote,47.0,2020,50.0,0.0,97.0,75.0
Republican,49.0,2020,0.0,70.0,60.0,30.0
Republican,28.0,2020,0.0,15.0,15.0,0.0
Did not vote,42.0,2020,99.0,99.0,99.0,99.0
Democrat,51.0,2020,97.0,15.0,97.0,97.0
Republican,48.0,2020,30.0,70.0,50.0,50.0
Republican,26.0,2020,50.0,50.0,50.0,50.0
Democrat,6.0,2020,97.0,0.0,97.0,85.0
Republican,12.0,2020,0.0,97.0,50.0,50.0
Republican,49.0,2020,40.0,70.0,40.0,15.0
Democrat,36.0,2020,60.0,50.0,50.0,50.0
Did not vote,48.0,2020,99.0,99.0,99.0,99.0
Did not vote,40.0,2020,99.0,99.0,99.0,99.0
Did not vote,9.0,2020,70.0,85.0,0.0,85.0
Democrat,17.0,2020,60.0,50.0,60.0,40.0
Democrat,26.0,2020,85.0,30.0,60.0,85.0
Republican,39.0,2020,40.0,50.0,50.0,50.0
Republican,36.0,2020,50.0,70.0,60.0,99.0
Democrat,36.0,2020,70.0,30.0,85.0,70.0
Republican,50.0,2020,70.0,97.0,50.0,70.0
Republican,47.0,2020,15.0,97.0,15.0,15.0
Democrat,6.0,2020,97.0,15.0,85.0,70.0
Republican,47.0,2020,0.0,70.0,97.0,30.0
Republican,13.0,2020,0.0,70.0,50.0,50.0
Did not vote,20.0,2020,99.0,99.0,99.0,99.0
Democrat,6.0,2020,97.0,30.0,97.0,97.0
Did not vote,48.0,2020,50.0,50.0,50.0,60.0
Democrat,19.0,2020,40.0,80.0,50.0,50.0
Did not vote,20.0,2020,99.0,99.0,99.0,99.0
Democrat,26.0,2020,70.0,40.0,85.0,98.0
Democrat,25.0,2020,97.0,0.0,97.0,97.0
Republican,48.0,2020,0.0,97.0,50.0,50.0
Democrat,17.0,2020,70.0,15.0,97.0,85.0
Democrat,29.0,2020,70.0,40.0,85.0,85.0
Did not vote,16.0,2020,60.0,60.0,97.0,85.0
Did not vote,45.0,2020,60.0,60.0,40.0,40.0
Democrat,17.0,2020,97.0,50.0,60.0,0.0
Did not vote,48.0,2020,70.0,60.0,50.0,85.0
Democrat,55.0,2020,85.0,80.0,85.0,98.0
Republican,34.0,2020,15.0,85.0,40.0,15.0
Democrat,40.0,2020,75.0,85.0,97.0,85.0
Did not vote,18.0,2020,99.0,99.0,99.0,99.0
Democrat,12.0,2020,70.0,85.0,85.0,60.0
Democrat,12.0,2020,85.0,40.0,97.0,85.0
Republican,35.0,2020,0.0,85.0,40.0,15.0
Democrat,9.0,2020,97.0,0.0,85.0,97.0
Democrat,29.0,2020,85.0,30.0,85.0,97.0
Did not vote,48.0,2020,40.0,70.0,85.0,85.0
Did not vote,37.0,2020,99.0,99.0,99.0,99.0
Democrat,20.0,2020,70.0,50.0,30.0,50.0
Democrat,51.0,2020,70.0,50.0,95.0,90.0
Republican,12.0,2020,99.0,99.0,99.0,99.0
Republican,55.0,2020,0.0,60.0,50.0,20.0
Democrat,27.0,2020,70.0,0.0,85.0,70.0
Democrat,36.0,2020,60.0,60.0,70.0,70.0
Did not vote,9.0,2020,99.0,99.0,99.0,99.0
Democrat,17.0,2020,70.0,40.0,85.0,70.0
Did not vote,35.0,2020,70.0,85.0,97.0,97.0
Republican,36.0,2020,0.0,97.0,70.0,15.0
Democrat,12.0,2020,30.0,70.0,85.0,50.0
Republican,55.0,2020,40.0,40.0,0.0,0.0
Democrat,36.0,2020,55.0,50.0,60.0,60.0
Did not vote,26.0,2020,50.0,50.0,97.0,50.0
Republican,36.0,2020,40.0,50.0,50.0,30.0
Did not vote,4.0,2020,50.0,0.0,50.0,50.0
Democrat,6.0,2020,90.0,70.0,97.0,97.0
Did not vote,26.0,2020,99.0,99.0,99.0,99.0
Democrat,6.0,2020,98.0,98.0,50.0,98.0
Democrat,17.0,2020,85.0,50.0,85.0,97.0
Did not vote,23.0,2020,99.0,99.0,99.0,99.0
Republican,24.0,2020,99.0,99.0,99.0,99.0
Did not vote,51.0,2020,60.0,70.0,70.0,30.0
Democrat,9.0,2020,97.0,0.0,97.0,97.0
Did not vote,47.0,2020,99.0,99.0,99.0,99.0
Republican,6.0,2020,0.0,85.0,50.0,50.0
Democrat,12.0,2020,75.0,30.0,50.0,50.0
Republican,21.0,2020,99.0,99.0,99.0,99.0
Democrat,34.0,2020,60.0,60.0,60.0,60.0
Republican,42.0,2020,0.0,85.0,85.0,40.0
Republican,17.0,2020,60.0,90.0,25.0,85.0
Republican,6.0,2020,99.0,99.0,99.0,99.0
Democrat,55.0,2020,50.0,50.0,80.0,75.0
Did not vote,13.0,2020,70.0,60.0,50.0,50.0
Republican,48.0,2020,70.0,70.0,50.0,0.0
Did not vote,47.0,2020,15.0,85.0,50.0,15.0
Did not vote,28.0,2020,30.0,97.0,50.0,50.0
Democrat,36.0,2020,85.0,15.0,85.0,85.0
Democrat,27.0,2020,86.0,86.0,86.0,86.0
Republican,8.0,2020,50.0,70.0,70.0,60.0
Did not vote,6.0,2020,85.0,50.0,50.0,70.0
Republican,29.0,2020,40.0,60.0,75.0,55.0
Republican,6.0,2020,70.0,85.0,85.0,98.0
Republican,47.0,2020,15.0,60.0,85.0,97.0
Republican,54.0,2020,60.0,50.0,85.0,50.0
Did not vote,16.0,2020,97.0,97.0,97.0,0.0
Democrat,34.0,2020,99.0,99.0,50.0,0.0
Democrat,37.0,2020,70.0,70.0,40.0,30.0
Democrat,25.0,2020,80.0,50.0,90.0,60.0
Republican,48.0,2020,60.0,60.0,70.0,70.0
Did not vote,42.0,2020,97.0,17.0,7.0,1.0
Democrat,29.0,2020,97.0,0.0,97.0,97.0
Democrat,24.0,2020,85.0,0.0,70.0,70.0
Republican,28.0,2020,50.0,50.0,50.0,50.0
Democrat,16.0,2020,50.0,50.0,97.0,70.0
Democrat,15.0,2020,75.0,60.0,65.0,75.0
Did not vote,12.0,2020,99.0,99.0,99.0,99.0
Republican,26.0,2020,0.0,50.0,50.0,50.0
Democrat,33.0,2020,85.0,30.0,60.0,97.0
Democrat,25.0,2020,50.0,50.0,50.0,40.0
Did not vote,1.0,2020,99.0,99.0,99.0,99.0
Democrat,6.0,2020,60.0,50.0,50.0,50.0
Did not vote,36.0,2020,70.0,40.0,80.0,75.0
Democrat,51.0,2020,80.0,40.0,99.0,80.0
Did not vote,51.0,2020,99.0,50.0,99.0,99.0
Did not vote,53.0,2020,50.0,50.0,0.0,50.0
Did not vote,28.0,2020,99.0,99.0,99.0,99.0
Democrat,6.0,2020,85.0,40.0,85.0,70.0
Democrat,6.0,2020,70.0,30.0,60.0,40.0
Republican,19.0,2020,1.0,97.0,50.0,15.0
Did not vote,34.0,2020,99.0,99.0,99.0,99.0
Did not vote,29.0,2020,99.0,99.0,99.0,99.0
Republican,48.0,2020,0.0,97.0,50.0,50.0
Republican,26.0,2020,0.0,97.0,70.0,85.0
Democrat,36.0,2020,97.0,15.0,97.0,97.0
Democrat,8.0,2020,75.0,35.0,95.0,75.0
Republican,12.0,2020,0.0,99.0,70.0,15.0
Did not vote,37.0,2020,99.0,99.0,99.0,99.0
Democrat,25.0,2020,85.0,15.0,70.0,60.0
Democrat,12.0,2020,60.0,60.0,40.0,60.0
Did not vote,4.0,2020,60.0,40.0,60.0,60.0
Did not vote,36.0,2020,99.0,99.0,99.0,99.0
Democrat,27.0,2020,95.0,55.0,97.0,95.0
Democrat,27.0,2020,70.0,15.0,85.0,70.0
Republican,21.0,2020,0.0,97.0,50.0,0.0
Republican,12.0,2020,30.0,85.0,85.0,50.0
Republican,37.0,2020,40.0,70.0,50.0,30.0
Democrat,4.0,2020,75.0,75.0,85.0,80.0
Republican,12.0,2020,30.0,70.0,85.0,15.0
Democrat,6.0,2020,99.0,99.0,99.0,99.0
Democrat,1.0,2020,80.0,40.0,70.0,30.0
Did not vote,13.0,2020,70.0,70.0,50.0,97.0
Republican,39.0,2020,15.0,85.0,60.0,15.0
Did not vote,42.0,2020,0.0,0.0,30.0,15.0
Democrat,21.0,2020,75.0,30.0,75.0,97.0
Republican,48.0,2020,15.0,97.0,70.0,40.0
Democrat,40.0,2020,50.0,50.0,60.0,60.0
Democrat,17.0,2020,97.0,0.0,97.0,85.0
Did not vote,39.0,2020,99.0,99.0,99.0,99.0
Did not vote,48.0,2020,30.0,60.0,50.0,90.0
Democrat,34.0,2020,99.0,99.0,99.0,99.0
Democrat,6.0,2020,50.0,50.0,60.0,60.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Republican,39.0,2020,40.0,75.0,85.0,75.0
Did not vote,48.0,2020,50.0,50.0,0.0,50.0
Democrat,6.0,2020,90.0,50.0,97.0,90.0
Democrat,6.0,2020,85.0,55.0,97.0,85.0
Did not vote,51.0,2020,45.0,45.0,50.0,40.0
Republican,45.0,2020,30.0,50.0,50.0,50.0
Democrat,12.0,2020,70.0,60.0,97.0,97.0
Did not vote,37.0,2020,99.0,99.0,99.0,99.0
Republican,13.0,2020,15.0,97.0,30.0,60.0
Did not vote,45.0,2020,99.0,99.0,99.0,99.0
Democrat,15.0,2020,50.0,25.0,50.0,50.0
Did not vote,40.0,2020,99.0,99.0,99.0,99.0
Republican,18.0,2020,0.0,85.0,97.0,60.0
Republican,39.0,2020,50.0,60.0,99.0,50.0
Republican,13.0,2020,30.0,85.0,0.0,30.0
Democrat,42.0,2020,40.0,20.0,80.0,50.0
Republican,36.0,2020,50.0,60.0,50.0,50.0
Democrat,48.0,2020,97.0,0.0,97.0,40.0
Did not vote,26.0,2020,30.0,50.0,0.0,40.0
Republican,26.0,2020,40.0,85.0,50.0,30.0
Republican,12.0,2020,60.0,85.0,70.0,85.0
Did not vote,4.0,2020,99.0,99.0,99.0,99.0
