Year_of_Study,Age,Race,Education,Income_Group,State_Code_FIPS,State_Code,Voting_Preference,Urban,birth_year
2012,48,Hispanic,High school,34 to 67 percentile,36,NY,Democrat,NA,1964
2012,39,Hispanic,College or advanced degree,68 to 95 percentile,48,TX,Democrat,NA,1973
2012,51,White non-Hispanic,Some college,34 to 67 percentile,24,MD,Democrat,NA,1961
2012,50,White non-Hispanic,College or advanced degree,68 to 95 percentile,22,LA,Republican,NA,1962
2012,65,Black non-Hispanic,College or advanced degree,68 to 95 percentile,39,OH,Democrat,NA,1947
2012,61,White non-Hispanic,College or advanced degree,68 to 95 percentile,40,OK,Republican,NA,1951
2012,50,Hispanic,High school,0 to 16 percentile,6,CA,Democrat,NA,1962
2012,60,White non-Hispanic,High school,68 to 95 percentile,48,TX,Republican,NA,1952
2012,62,White non-Hispanic,College or advanced degree,68 to 95 percentile,42,PA,Democrat,NA,1950
2012,29,White non-Hispanic,College or advanced degree,68 to 95 percentile,13,GA,Republican,NA,1983
2012,22,White non-Hispanic,Some college,0 to 16 percentile,30,MT,Democrat,NA,1990
2012,27,White non-Hispanic,College or advanced degree,34 to 67 percentile,24,MD,Democrat,NA,1985
2012,33,Hispanic,High school,0 to 16 percentile,6,CA,Democrat,NA,1979
2012,57,White non-Hispanic,Some college,34 to 67 percentile,27,MN,Democrat,NA,1955
2012,52,White non-Hispanic,College or advanced degree,96 to 100 percentile,12,FL,Democrat,NA,1960
2012,32,"American Indian or Alaska Native, non-Hispanic",High school,34 to 67 percentile,24,MD,Republican,NA,1980
2012,27,White non-Hispanic,College or advanced degree,34 to 67 percentile,41,OR,Democrat,NA,1985
2012,34,White non-Hispanic,Some college,68 to 95 percentile,6,CA,Republican,NA,1978
2012,67,White non-Hispanic,DK; NA,34 to 67 percentile,17,IL,Republican,NA,1945
2012,54,White non-Hispanic,Some college,68 to 95 percentile,6,CA,Democrat,NA,1958
2012,58,White non-Hispanic,Some college,34 to 67 percentile,4,AZ,Democrat,NA,1954
2012,44,White non-Hispanic,College or advanced degree,96 to 100 percentile,41,OR,Republican,NA,1968
2012,37,White non-Hispanic,College or advanced degree,68 to 95 percentile,48,TX,Democrat,NA,1975
2012,49,White non-Hispanic,High school,34 to 67 percentile,8,CO,Democrat,NA,1963
2012,70,White non-Hispanic,College or advanced degree,34 to 67 percentile,13,GA,Republican,NA,1942
2012,46,White non-Hispanic,College or advanced degree,96 to 100 percentile,55,WI,Republican,NA,1966
2012,25,White non-Hispanic,Some college,34 to 67 percentile,6,CA,Republican,NA,1987
2012,48,White non-Hispanic,High school,68 to 95 percentile,36,NY,Democrat,NA,1964
2012,78,White non-Hispanic,High school,34 to 67 percentile,42,PA,Republican,NA,1934
2012,25,White non-Hispanic,Some college,0 to 16 percentile,37,NC,Democrat,NA,1987
2012,62,White non-Hispanic,High school,17 to 33 percentile,55,WI,Republican,NA,1950
2012,34,White non-Hispanic,College or advanced degree,34 to 67 percentile,1,AL,Democrat,NA,1978
2012,74,White non-Hispanic,Some college,68 to 95 percentile,17,IL,Republican,NA,1938
2012,31,White non-Hispanic,Some college,34 to 67 percentile,19,IA,Democrat,NA,1981
2012,56,White non-Hispanic,College or advanced degree,68 to 95 percentile,48,TX,Republican,NA,1956
2012,33,White non-Hispanic,High school,34 to 67 percentile,26,MI,Republican,NA,1979
2012,66,White non-Hispanic,College or advanced degree,96 to 100 percentile,6,CA,Republican,NA,1946
2012,37,White non-Hispanic,College or advanced degree,68 to 95 percentile,26,MI,Republican,NA,1975
2012,46,Hispanic,High school,17 to 33 percentile,48,TX,Democrat,NA,1966
2012,61,White non-Hispanic,High school,68 to 95 percentile,17,IL,Republican,NA,1951
2012,65,White non-Hispanic,High school,34 to 67 percentile,39,OH,Democrat,NA,1947
2012,54,White non-Hispanic,High school,68 to 95 percentile,26,MI,Republican,NA,1958
2012,66,"Other or multiple races, non-Hispanic",Some college,0 to 16 percentile,39,OH,Major Third Party,NA,1946
2012,28,White non-Hispanic,College or advanced degree,68 to 95 percentile,29,MO,Republican,NA,1984
2012,38,White non-Hispanic,Some college,34 to 67 percentile,37,NC,Republican,NA,1974
2012,30,White non-Hispanic,College or advanced degree,34 to 67 percentile,6,CA,Republican,NA,1982
2012,59,White non-Hispanic,High school,68 to 95 percentile,45,SC,Republican,NA,1953
2012,55,Black non-Hispanic,High school,17 to 33 percentile,1,AL,Democrat,NA,1957
2012,61,White non-Hispanic,Some college,96 to 100 percentile,19,IA,Republican,NA,1951
2012,22,White non-Hispanic,DK; NA,0 to 16 percentile,48,TX,Democrat,NA,1990
2012,37,Hispanic,High school,0 to 16 percentile,6,CA,Democrat,NA,1975
2012,58,White non-Hispanic,High school,34 to 67 percentile,12,FL,Republican,NA,1954
2012,29,White non-Hispanic,College or advanced degree,68 to 95 percentile,56,WY,Democrat,NA,1983
2012,67,White non-Hispanic,College or advanced degree,34 to 67 percentile,16,ID,Democrat,NA,1945
2012,65,Black non-Hispanic,College or advanced degree,68 to 95 percentile,17,IL,Democrat,NA,1947
2012,76,Hispanic,High school,0 to 16 percentile,6,CA,Democrat,NA,1936
2012,67,Black non-Hispanic,Some college,34 to 67 percentile,13,GA,Democrat,NA,1945
2012,44,Hispanic,College or advanced degree,68 to 95 percentile,17,IL,Democrat,NA,1968
2012,42,Hispanic,High school,34 to 67 percentile,6,CA,Democrat,NA,1970
2012,22,Hispanic,Some college,34 to 67 percentile,48,TX,Democrat,NA,1990
2012,49,Hispanic,Some college,34 to 67 percentile,6,CA,Republican,NA,1963
2012,63,White non-Hispanic,Some college,17 to 33 percentile,48,TX,Republican,NA,1949
2012,56,White non-Hispanic,Some college,34 to 67 percentile,34,NJ,Republican,NA,1956
2012,28,White non-Hispanic,College or advanced degree,68 to 95 percentile,34,NJ,Republican,NA,1984
2012,57,White non-Hispanic,High school,0 to 16 percentile,32,NV,Democrat,NA,1955
2012,24,Black non-Hispanic,High school,34 to 67 percentile,36,NY,Democrat,NA,1988
2012,51,Black non-Hispanic,High school,17 to 33 percentile,36,NY,Democrat,NA,1961
2012,41,Hispanic,High school,0 to 16 percentile,48,TX,Republican,NA,1971
2012,61,Black non-Hispanic,College or advanced degree,34 to 67 percentile,42,PA,Democrat,NA,1951
2012,23,White non-Hispanic,Some college,0 to 16 percentile,49,UT,Republican,NA,1989
2012,54,White non-Hispanic,Some college,0 to 16 percentile,29,MO,Democrat,NA,1958
2012,56,Black non-Hispanic,College or advanced degree,68 to 95 percentile,13,GA,Democrat,NA,1956
2012,42,White non-Hispanic,College or advanced degree,68 to 95 percentile,34,NJ,Republican,NA,1970
2012,41,White non-Hispanic,College or advanced degree,34 to 67 percentile,12,FL,Democrat,NA,1971
2012,70,Black non-Hispanic,High school,34 to 67 percentile,48,TX,Democrat,NA,1942
2012,56,"Asian or Pacific Islander, non-Hispanic",Some college,34 to 67 percentile,6,CA,Republican,NA,1956
2012,37,Hispanic,Some college,34 to 67 percentile,48,TX,Republican,NA,1975
2012,28,Hispanic,College or advanced degree,96 to 100 percentile,20,KS,Major Third Party,NA,1984
2012,57,White non-Hispanic,College or advanced degree,68 to 95 percentile,55,WI,Republican,NA,1955
2012,40,White non-Hispanic,College or advanced degree,34 to 67 percentile,21,KY,Democrat,NA,1972
2012,56,White non-Hispanic,College or advanced degree,34 to 67 percentile,47,TN,Republican,NA,1956
2012,47,Hispanic,Grade school or less,34 to 67 percentile,6,CA,Republican,NA,1965
2012,47,White non-Hispanic,Some college,34 to 67 percentile,48,TX,Republican,NA,1965
2012,57,"Other or multiple races, non-Hispanic",DK; NA,34 to 67 percentile,39,OH,Republican,NA,1955
2012,62,White non-Hispanic,Some college,34 to 67 percentile,41,OR,Republican,NA,1950
2012,75,White non-Hispanic,High school,34 to 67 percentile,39,OH,Democrat,NA,1937
2012,64,Hispanic,High school,0 to 16 percentile,12,FL,Democrat,NA,1948
2012,53,White non-Hispanic,Some college,68 to 95 percentile,18,IN,Democrat,NA,1959
2012,38,White non-Hispanic,College or advanced degree,34 to 67 percentile,32,NV,Major Third Party,NA,1974
2012,63,Hispanic,Some college,0 to 16 percentile,48,TX,Democrat,NA,1949
2012,60,White non-Hispanic,High school,34 to 67 percentile,48,TX,Republican,NA,1952
2012,50,White non-Hispanic,College or advanced degree,96 to 100 percentile,13,GA,Republican,NA,1962
2012,85,White non-Hispanic,Grade school or less,0 to 16 percentile,26,MI,Republican,NA,1927
2012,41,"Asian or Pacific Islander, non-Hispanic",College or advanced degree,17 to 33 percentile,53,WA,Democrat,NA,1971
2012,39,White non-Hispanic,College or advanced degree,0 to 16 percentile,42,PA,Republican,NA,1973
2012,56,White non-Hispanic,High school,34 to 67 percentile,8,CO,Democrat,NA,1956
2012,27,White non-Hispanic,College or advanced degree,68 to 95 percentile,6,CA,Republican,NA,1985
2012,81,Hispanic,Grade school or less,17 to 33 percentile,48,TX,Democrat,NA,1931
2012,42,White non-Hispanic,Some college,34 to 67 percentile,26,MI,Republican,NA,1970
2012,52,Hispanic,High school,68 to 95 percentile,48,TX,Republican,NA,1960
2012,25,Hispanic,High school,0 to 16 percentile,35,NM,Democrat,NA,1987
2012,37,White non-Hispanic,College or advanced degree,68 to 95 percentile,41,OR,Democrat,NA,1975
2012,67,Hispanic,Grade school or less,34 to 67 percentile,6,CA,Democrat,NA,1945
2012,27,White non-Hispanic,College or advanced degree,68 to 95 percentile,36,NY,Democrat,NA,1985
2012,75,White non-Hispanic,High school,0 to 16 percentile,48,TX,Republican,NA,1937
2012,66,White non-Hispanic,Some college,68 to 95 percentile,48,TX,Republican,NA,1946
2012,54,Hispanic,High school,34 to 67 percentile,6,CA,Democrat,NA,1958
2012,58,White non-Hispanic,Some college,34 to 67 percentile,36,NY,Democrat,NA,1954
2012,81,White non-Hispanic,DK; NA,34 to 67 percentile,12,FL,Republican,NA,1931
2012,34,Hispanic,Some college,34 to 67 percentile,48,TX,Democrat,NA,1978
2012,49,Hispanic,Some college,34 to 67 percentile,12,FL,Democrat,NA,1963
2012,30,White non-Hispanic,Some college,17 to 33 percentile,40,OK,Democrat,NA,1982
2012,38,White non-Hispanic,High school,34 to 67 percentile,13,GA,Republican,NA,1974
2012,31,Hispanic,Some college,17 to 33 percentile,6,CA,Democrat,NA,1981
2012,71,White non-Hispanic,College or advanced degree,96 to 100 percentile,53,WA,Republican,NA,1941
2012,77,Black non-Hispanic,Some college,34 to 67 percentile,51,VA,Democrat,NA,1935
2012,32,Hispanic,High school,34 to 67 percentile,32,NV,Democrat,NA,1980
2012,55,White non-Hispanic,College or advanced degree,96 to 100 percentile,6,CA,Republican,NA,1957
2012,45,White non-Hispanic,High school,34 to 67 percentile,32,NV,Democrat,NA,1967
2012,59,White non-Hispanic,High school,34 to 67 percentile,17,IL,Democrat,NA,1953
2012,72,White non-Hispanic,DK; NA,34 to 67 percentile,30,MT,Democrat,NA,1940
2012,59,White non-Hispanic,College or advanced degree,68 to 95 percentile,4,AZ,Democrat,NA,1953
2012,55,White non-Hispanic,College or advanced degree,68 to 95 percentile,6,CA,Republican,NA,1957
2012,23,White non-Hispanic,High school,34 to 67 percentile,13,GA,Republican,NA,1989
2012,63,White non-Hispanic,High school,68 to 95 percentile,12,FL,Republican,NA,1949
2012,72,White non-Hispanic,Some college,34 to 67 percentile,32,NV,Democrat,NA,1940
2012,39,White non-Hispanic,High school,34 to 67 percentile,41,OR,Republican,NA,1973
2012,31,White non-Hispanic,College or advanced degree,68 to 95 percentile,17,IL,Major Third Party,NA,1981
2012,67,Hispanic,College or advanced degree,17 to 33 percentile,12,FL,Democrat,NA,1945
2012,62,White non-Hispanic,Some college,17 to 33 percentile,12,FL,Democrat,NA,1950
2012,42,Hispanic,High school,0 to 16 percentile,6,CA,Democrat,NA,1970
2012,69,White non-Hispanic,High school,0 to 16 percentile,6,CA,Democrat,NA,1943
2012,41,White non-Hispanic,Some college,68 to 95 percentile,42,PA,Republican,NA,1971
2012,44,White non-Hispanic,High school,68 to 95 percentile,27,MN,Democrat,NA,1968
2012,32,White non-Hispanic,Some college,68 to 95 percentile,53,WA,Democrat,NA,1980
2012,56,White non-Hispanic,College or advanced degree,96 to 100 percentile,46,SD,Republican,NA,1956
2012,48,White non-Hispanic,Some college,34 to 67 percentile,32,NV,Democrat,NA,1964
2012,33,Black non-Hispanic,College or advanced degree,68 to 95 percentile,48,TX,Democrat,NA,1979
2012,19,Hispanic,High school,34 to 67 percentile,6,CA,Democrat,NA,1993
2012,31,White non-Hispanic,College or advanced degree,34 to 67 percentile,8,CO,Republican,NA,1981
2012,34,White non-Hispanic,High school,0 to 16 percentile,26,MI,Democrat,NA,1978
2012,57,White non-Hispanic,College or advanced degree,34 to 67 percentile,55,WI,Democrat,NA,1955
2012,41,White non-Hispanic,College or advanced degree,34 to 67 percentile,42,PA,Republican,NA,1971
2012,52,White non-Hispanic,College or advanced degree,DK; NA; refused to answer; no Pre IW,26,MI,Democrat,NA,1960
2012,62,White non-Hispanic,College or advanced degree,68 to 95 percentile,37,NC,Democrat,NA,1950
2012,55,White non-Hispanic,Some college,34 to 67 percentile,42,PA,Republican,NA,1957
2012,59,White non-Hispanic,College or advanced degree,34 to 67 percentile,21,KY,Democrat,NA,1953
2012,48,White non-Hispanic,Some college,96 to 100 percentile,6,CA,Republican,NA,1964
2012,42,White non-Hispanic,High school,17 to 33 percentile,12,FL,Republican,NA,1970
2012,42,White non-Hispanic,College or advanced degree,68 to 95 percentile,36,NY,Democrat,NA,1970
2012,37,White non-Hispanic,High school,0 to 16 percentile,13,GA,Republican,NA,1975
2012,65,White non-Hispanic,College or advanced degree,68 to 95 percentile,39,OH,Republican,NA,1947
2012,58,Black non-Hispanic,Some college,34 to 67 percentile,6,CA,Democrat,NA,1954
2012,82,White non-Hispanic,High school,34 to 67 percentile,26,MI,Democrat,NA,1930
2012,23,Black non-Hispanic,High school,0 to 16 percentile,28,MS,Democrat,NA,1989
2012,52,Hispanic,Some college,34 to 67 percentile,4,AZ,Democrat,NA,1960
2012,23,Black non-Hispanic,Some college,0 to 16 percentile,17,IL,Democrat,NA,1989
2012,50,White non-Hispanic,College or advanced degree,17 to 33 percentile,24,MD,Democrat,NA,1962
2012,25,White non-Hispanic,High school,17 to 33 percentile,37,NC,Democrat,NA,1987
2012,24,White non-Hispanic,Some college,0 to 16 percentile,29,MO,Major Third Party,NA,1988
2012,54,"Other or multiple races, non-Hispanic",High school,34 to 67 percentile,49,UT,Major Third Party,NA,1958
2012,63,White non-Hispanic,College or advanced degree,68 to 95 percentile,51,VA,Democrat,NA,1949
2012,26,White non-Hispanic,High school,17 to 33 percentile,51,VA,Democrat,NA,1986
2012,75,White non-Hispanic,College or advanced degree,17 to 33 percentile,4,AZ,Democrat,NA,1937
2012,21,Black non-Hispanic,Some college,0 to 16 percentile,17,IL,Democrat,NA,1991
2012,49,Black non-Hispanic,College or advanced degree,34 to 67 percentile,24,MD,Democrat,NA,1963
2012,61,Hispanic,Some college,34 to 67 percentile,6,CA,Democrat,NA,1951
2012,42,White non-Hispanic,College or advanced degree,17 to 33 percentile,48,TX,Republican,NA,1970
2012,32,White non-Hispanic,High school,34 to 67 percentile,26,MI,Democrat,NA,1980
2012,42,White non-Hispanic,High school,34 to 67 percentile,24,MD,Democrat,NA,1970
2012,27,Black non-Hispanic,High school,0 to 16 percentile,12,FL,Democrat,NA,1985
2012,42,Hispanic,Some college,68 to 95 percentile,12,FL,Republican,NA,1970
2012,45,White non-Hispanic,High school,34 to 67 percentile,42,PA,Republican,NA,1967
2012,31,White non-Hispanic,College or advanced degree,34 to 67 percentile,1,AL,Republican,NA,1981
2012,51,White non-Hispanic,High school,34 to 67 percentile,54,WV,Republican,NA,1961
2012,68,Black non-Hispanic,College or advanced degree,34 to 67 percentile,48,TX,Democrat,NA,1944
2012,29,Black non-Hispanic,High school,0 to 16 percentile,26,MI,Democrat,NA,1983
2012,68,White non-Hispanic,Some college,34 to 67 percentile,51,VA,Republican,NA,1944
2012,31,"Asian or Pacific Islander, non-Hispanic",College or advanced degree,68 to 95 percentile,51,VA,Democrat,NA,1981
2012,70,White non-Hispanic,Grade school or less,34 to 67 percentile,29,MO,Democrat,NA,1942
2012,66,Hispanic,High school,0 to 16 percentile,48,TX,Democrat,NA,1946
2012,26,White non-Hispanic,Some college,17 to 33 percentile,12,FL,Democrat,NA,1986
2012,43,White non-Hispanic,College or advanced degree,68 to 95 percentile,6,CA,Democrat,NA,1969
2012,47,White non-Hispanic,College or advanced degree,68 to 95 percentile,48,TX,Republican,NA,1965
2012,28,White non-Hispanic,College or advanced degree,96 to 100 percentile,48,TX,Democrat,NA,1984
2012,29,Hispanic,Some college,34 to 67 percentile,44,RI,Major Third Party,NA,1983
2012,86,White non-Hispanic,Some college,34 to 67 percentile,6,CA,Democrat,NA,1926
2012,51,White non-Hispanic,High school,34 to 67 percentile,25,MA,Democrat,NA,1961
2012,57,Hispanic,College or advanced degree,68 to 95 percentile,6,CA,Democrat,NA,1955
2012,25,Black non-Hispanic,Grade school or less,34 to 67 percentile,18,IN,Democrat,NA,1987
2012,57,Black non-Hispanic,Some college,34 to 67 percentile,17,IL,Democrat,NA,1955
2012,73,White non-Hispanic,Some college,34 to 67 percentile,48,TX,Democrat,NA,1939
2012,28,"Other or multiple races, non-Hispanic",High school,17 to 33 percentile,16,ID,Republican,NA,1984
2012,25,Hispanic,High school,17 to 33 percentile,41,OR,Democrat,NA,1987
2012,28,White non-Hispanic,College or advanced degree,68 to 95 percentile,27,MN,Republican,NA,1984
2012,41,Hispanic,High school,34 to 67 percentile,17,IL,Democrat,NA,1971
2012,56,White non-Hispanic,College or advanced degree,34 to 67 percentile,12,FL,Republican,NA,1956
2012,39,White non-Hispanic,Some college,34 to 67 percentile,29,MO,Republican,NA,1973
2012,40,White non-Hispanic,Some college,34 to 67 percentile,42,PA,Republican,NA,1972
2012,49,Hispanic,High school,34 to 67 percentile,6,CA,Republican,NA,1963
2012,83,White non-Hispanic,High school,17 to 33 percentile,34,NJ,Democrat,NA,1929
2012,36,White non-Hispanic,College or advanced degree,68 to 95 percentile,49,UT,Republican,NA,1976
2012,58,White non-Hispanic,Some college,68 to 95 percentile,39,OH,Democrat,NA,1954
2012,43,White non-Hispanic,Some college,17 to 33 percentile,4,AZ,Republican,NA,1969
2012,49,White non-Hispanic,College or advanced degree,68 to 95 percentile,24,MD,Democrat,NA,1963
2012,68,"Other or multiple races, non-Hispanic",Some college,0 to 16 percentile,51,VA,Democrat,NA,1944
2012,57,White non-Hispanic,Some college,68 to 95 percentile,17,IL,Republican,NA,1955
2012,58,Hispanic,High school,34 to 67 percentile,12,FL,Democrat,NA,1954
2012,42,Black non-Hispanic,High school,0 to 16 percentile,18,IN,Democrat,NA,1970
2012,29,White non-Hispanic,College or advanced degree,68 to 95 percentile,45,SC,Democrat,NA,1983
2012,47,Hispanic,College or advanced degree,68 to 95 percentile,37,NC,Republican,NA,1965
2012,28,White non-Hispanic,Some college,0 to 16 percentile,18,IN,Republican,NA,1984
2012,43,Black non-Hispanic,Some college,0 to 16 percentile,28,MS,Democrat,NA,1969
2012,54,White non-Hispanic,High school,68 to 95 percentile,39,OH,Democrat,NA,1958
2012,19,Hispanic,Some college,34 to 67 percentile,6,CA,Democrat,NA,1993
2012,74,White non-Hispanic,College or advanced degree,68 to 95 percentile,48,TX,Republican,NA,1938
2012,33,White non-Hispanic,College or advanced degree,34 to 67 percentile,51,VA,Major Third Party,NA,1979
2012,77,White non-Hispanic,Some college,34 to 67 percentile,5,AR,Republican,NA,1935
2012,47,White non-Hispanic,College or advanced degree,96 to 100 percentile,25,MA,Democrat,NA,1965
2012,66,White non-Hispanic,College or advanced degree,34 to 67 percentile,50,VT,Democrat,NA,1946
2012,73,White non-Hispanic,Some college,34 to 67 percentile,34,NJ,Democrat,NA,1939
2012,44,White non-Hispanic,College or advanced degree,68 to 95 percentile,42,PA,Democrat,NA,1968
2012,48,Hispanic,College or advanced degree,34 to 67 percentile,42,PA,Republican,NA,1964
2012,67,Hispanic,High school,17 to 33 percentile,12,FL,Republican,NA,1945
2012,35,White non-Hispanic,College or advanced degree,34 to 67 percentile,8,CO,Democrat,NA,1977
2012,50,White non-Hispanic,Some college,0 to 16 percentile,12,FL,Democrat,NA,1962
2012,35,White non-Hispanic,Some college,0 to 16 percentile,54,WV,Democrat,NA,1977
2012,68,White non-Hispanic,College or advanced degree,68 to 95 percentile,9,CT,Republican,NA,1944
2012,55,White non-Hispanic,Some college,17 to 33 percentile,20,KS,Democrat,NA,1957
2012,42,Hispanic,College or advanced degree,68 to 95 percentile,6,CA,Democrat,NA,1970
2012,50,White non-Hispanic,Some college,68 to 95 percentile,18,IN,Democrat,NA,1962
2012,24,White non-Hispanic,College or advanced degree,34 to 67 percentile,36,NY,Republican,NA,1988
2012,56,White non-Hispanic,College or advanced degree,96 to 100 percentile,25,MA,Republican,NA,1956
2012,32,Hispanic,College or advanced degree,34 to 67 percentile,29,MO,Major Third Party,NA,1980
2012,20,White non-Hispanic,High school,DK; NA; refused to answer; no Pre IW,53,WA,Democrat,NA,1992
2012,61,White non-Hispanic,College or advanced degree,0 to 16 percentile,26,MI,Republican,NA,1951
2012,19,Black non-Hispanic,Some college,0 to 16 percentile,29,MO,Democrat,NA,1993
2012,29,White non-Hispanic,Some college,34 to 67 percentile,49,UT,Republican,NA,1983
2012,87,White non-Hispanic,Some college,17 to 33 percentile,42,PA,Democrat,NA,1925
2012,51,White non-Hispanic,Some college,34 to 67 percentile,27,MN,Republican,NA,1961
2012,33,White non-Hispanic,College or advanced degree,68 to 95 percentile,6,CA,Republican,NA,1979
2012,54,Black non-Hispanic,College or advanced degree,68 to 95 percentile,34,NJ,Democrat,NA,1958
2012,65,Black non-Hispanic,High school,0 to 16 percentile,28,MS,Democrat,NA,1947
2012,76,Black non-Hispanic,Grade school or less,17 to 33 percentile,17,IL,Democrat,NA,1936
2012,53,White non-Hispanic,High school,34 to 67 percentile,29,MO,Democrat,NA,1959
2012,56,White non-Hispanic,High school,68 to 95 percentile,36,NY,Democrat,NA,1956
2012,77,Black non-Hispanic,Some college,0 to 16 percentile,48,TX,Democrat,NA,1935
2012,73,White non-Hispanic,High school,34 to 67 percentile,29,MO,Republican,NA,1939
2012,66,White non-Hispanic,College or advanced degree,68 to 95 percentile,53,WA,Democrat,NA,1946
2012,55,Hispanic,Grade school or less,17 to 33 percentile,6,CA,Democrat,NA,1957
2012,54,White non-Hispanic,High school,34 to 67 percentile,47,TN,Republican,NA,1958
2012,56,Hispanic,High school,17 to 33 percentile,6,CA,Major Third Party,NA,1956
2012,65,White non-Hispanic,College or advanced degree,68 to 95 percentile,26,MI,Democrat,NA,1947
2012,25,White non-Hispanic,High school,17 to 33 percentile,6,CA,Democrat,NA,1987
2012,71,White non-Hispanic,High school,34 to 67 percentile,29,MO,Republican,NA,1941
2012,48,White non-Hispanic,College or advanced degree,0 to 16 percentile,12,FL,Democrat,NA,1964
2012,61,White non-Hispanic,High school,68 to 95 percentile,42,PA,Republican,NA,1951
2012,44,Black non-Hispanic,Some college,0 to 16 percentile,37,NC,Democrat,NA,1968
2012,68,White non-Hispanic,College or advanced degree,0 to 16 percentile,51,VA,Republican,NA,1944
2012,45,White non-Hispanic,Some college,68 to 95 percentile,37,NC,Republican,NA,1967
2012,53,White non-Hispanic,High school,0 to 16 percentile,25,MA,Democrat,NA,1959
2012,32,Hispanic,High school,34 to 67 percentile,13,GA,Democrat,NA,1980
2012,57,White non-Hispanic,College or advanced degree,68 to 95 percentile,10,DE,Republican,NA,1955
2012,66,White non-Hispanic,High school,0 to 16 percentile,12,FL,Major Third Party,NA,1946
2012,53,White non-Hispanic,College or advanced degree,68 to 95 percentile,42,PA,Democrat,NA,1959
2012,58,White non-Hispanic,College or advanced degree,68 to 95 percentile,25,MA,Democrat,NA,1954
2012,51,White non-Hispanic,College or advanced degree,68 to 95 percentile,36,NY,Republican,NA,1961
2012,37,White non-Hispanic,Some college,34 to 67 percentile,6,CA,Democrat,NA,1975
2012,48,White non-Hispanic,Some college,0 to 16 percentile,48,TX,Republican,NA,1964
2012,51,White non-Hispanic,Some college,96 to 100 percentile,53,WA,Democrat,NA,1961
2012,62,White non-Hispanic,High school,34 to 67 percentile,36,NY,Republican,NA,1950
2012,63,Hispanic,High school,0 to 16 percentile,48,TX,Democrat,NA,1949
2012,67,White non-Hispanic,Some college,34 to 67 percentile,34,NJ,Democrat,NA,1945
2012,25,Hispanic,Some college,34 to 67 percentile,51,VA,Major Third Party,NA,1987
2012,61,White non-Hispanic,Some college,34 to 67 percentile,12,FL,Republican,NA,1951
2012,73,White non-Hispanic,High school,34 to 67 percentile,42,PA,Republican,NA,1939
2012,62,White non-Hispanic,DK; NA,34 to 67 percentile,47,TN,Republican,NA,1950
2012,35,White non-Hispanic,College or advanced degree,68 to 95 percentile,12,FL,Republican,NA,1977
2012,54,White non-Hispanic,College or advanced degree,0 to 16 percentile,53,WA,Democrat,NA,1958
2012,76,White non-Hispanic,High school,34 to 67 percentile,53,WA,Democrat,NA,1936
2012,55,White non-Hispanic,College or advanced degree,68 to 95 percentile,24,MD,Republican,NA,1957
2012,66,Hispanic,Grade school or less,17 to 33 percentile,6,CA,Democrat,NA,1946
2012,62,White non-Hispanic,College or advanced degree,68 to 95 percentile,40,OK,Republican,NA,1950
2012,65,Black non-Hispanic,Some college,34 to 67 percentile,17,IL,Democrat,NA,1947
2012,70,White non-Hispanic,High school,34 to 67 percentile,39,OH,Democrat,NA,1942
2012,51,Hispanic,Some college,17 to 33 percentile,48,TX,Republican,NA,1961
2012,76,White non-Hispanic,High school,0 to 16 percentile,34,NJ,Major Third Party,NA,1936
2012,67,White non-Hispanic,College or advanced degree,34 to 67 percentile,34,NJ,Democrat,NA,1945
2012,56,White non-Hispanic,College or advanced degree,96 to 100 percentile,6,CA,Republican,NA,1956
2012,46,White non-Hispanic,Some college,68 to 95 percentile,47,TN,Democrat,NA,1966
2012,57,White non-Hispanic,College or advanced degree,68 to 95 percentile,42,PA,Republican,NA,1955
2012,60,White non-Hispanic,High school,0 to 16 percentile,36,NY,Republican,NA,1952
2012,35,White non-Hispanic,Some college,68 to 95 percentile,55,WI,Republican,NA,1977
2012,58,White non-Hispanic,College or advanced degree,34 to 67 percentile,6,CA,Republican,NA,1954
2012,44,Hispanic,High school,34 to 67 percentile,41,OR,Democrat,NA,1968
2012,55,White non-Hispanic,Some college,68 to 95 percentile,19,IA,Republican,NA,1957
2012,28,White non-Hispanic,College or advanced degree,DK; NA; refused to answer; no Pre IW,13,GA,Democrat,NA,1984
2012,26,White non-Hispanic,Some college,34 to 67 percentile,12,FL,Republican,NA,1986
2012,36,White non-Hispanic,College or advanced degree,96 to 100 percentile,27,MN,Democrat,NA,1976
2012,61,White non-Hispanic,High school,17 to 33 percentile,49,UT,Democrat,NA,1951
2012,58,White non-Hispanic,College or advanced degree,68 to 95 percentile,37,NC,Republican,NA,1954
2012,33,Hispanic,High school,34 to 67 percentile,12,FL,Democrat,NA,1979
2012,33,White non-Hispanic,College or advanced degree,68 to 95 percentile,36,NY,Democrat,NA,1979
2012,56,White non-Hispanic,Some college,68 to 95 percentile,17,IL,Democrat,NA,1956
2012,28,White non-Hispanic,Some college,34 to 67 percentile,29,MO,Republican,NA,1984
2012,51,White non-Hispanic,Some college,34 to 67 percentile,5,AR,Republican,NA,1961
2012,60,White non-Hispanic,College or advanced degree,96 to 100 percentile,8,CO,Democrat,NA,1952
2012,53,"Other or multiple races, non-Hispanic",High school,34 to 67 percentile,18,IN,Democrat,NA,1959
2012,65,White non-Hispanic,High school,34 to 67 percentile,47,TN,Republican,NA,1947
2012,65,White non-Hispanic,Some college,96 to 100 percentile,12,FL,Democrat,NA,1947
