Year_of_Study,Voting_Preference,Income_Group,Income_Inequality,Income_Inequality_Change_Level,Unemployment_Past_Year,Unemployment_Past_Year_Change_Level,Unemployment_Next_Year,Thermometer_Business,Thermometer_Labor_Union,Thermometer_Middle_Class,Thermometer_Welfare,Thermometer_Poor,State_Code_FIPS,State_Code
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Worse,70.0,70.0,97.0,70.0,97.0,12.0,FL
2008,Republican,Middle Income,Same,3.0,Worse,4.0,Better,60.0,50.0,97.0,30.0,97.0,12.0,FL
2008,,Middle Income,,,Worse,5.0,Same,99.0,99.0,99.0,99.0,99.0,12.0,FL
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Same,30.0,15.0,70.0,70.0,85.0,12.0,FL
2008,,Middle Income,Smaller,4.0,Worse,5.0,Worse,40.0,50.0,50.0,50.0,50.0,12.0,FL
2008,Republican,Upper Middle Income,Larger,2.0,Better,2.0,Better,85.0,70.0,85.0,50.0,97.0,12.0,FL
2008,Republican,Middle Income,Larger,1.0,Worse,5.0,Same,50.0,15.0,50.0,50.0,50.0,12.0,FL
2008,Republican,Middle Income,Same,3.0,Worse,5.0,Worse,85.0,70.0,70.0,70.0,70.0,12.0,FL
2008,,Low Income,,,Worse,4.0,Same,99.0,99.0,99.0,99.0,99.0,12.0,FL
2008,Republican,Low Income,Larger,1.0,Worse,5.0,Worse,50.0,50.0,70.0,50.0,85.0,12.0,FL
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Better,85.0,70.0,85.0,50.0,70.0,12.0,FL
2008,Democrat,Middle Income,Same,3.0,Worse,5.0,Same,75.0,85.0,97.0,80.0,97.0,12.0,FL
2008,Republican,Low Income,Larger,1.0,Worse,4.0,Better,60.0,98.0,70.0,97.0,97.0,12.0,FL
2008,Democrat,Low Income,Larger,1.0,Worse,4.0,Better,55.0,95.0,95.0,40.0,70.0,12.0,FL
2008,Republican,Middle Income,Larger,2.0,Worse,4.0,Worse,60.0,40.0,70.0,40.0,70.0,12.0,FL
2008,,Middle Income,Larger,1.0,Worse,5.0,Worse,50.0,85.0,70.0,40.0,97.0,12.0,FL
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,40.0,70.0,85.0,0.0,97.0,12.0,FL
2008,Republican,Middle Income,Larger,2.0,Worse,5.0,Same,30.0,0.0,50.0,50.0,60.0,12.0,FL
2008,Republican,Middle Income,Smaller,4.0,Worse,5.0,Worse,85.0,60.0,85.0,70.0,85.0,12.0,FL
2008,,Middle Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,12.0,FL
2008,Republican,Middle Income,Larger,1.0,Worse,5.0,Same,50.0,50.0,85.0,97.0,97.0,12.0,FL
2008,,Middle Income,Larger,2.0,Worse,5.0,Worse,50.0,50.0,50.0,50.0,50.0,12.0,FL
2008,Republican,Middle Income,Larger,1.0,Worse,4.0,Worse,30.0,40.0,70.0,60.0,60.0,12.0,FL
2008,Democrat,Middle Income,Larger,2.0,Worse,4.0,Worse,97.0,97.0,97.0,97.0,97.0,12.0,FL
2008,Democrat,Low Income,Larger,1.0,Worse,4.0,Same,98.0,85.0,97.0,85.0,97.0,12.0,FL
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,30.0,60.0,60.0,60.0,60.0,12.0,FL
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Same,70.0,60.0,85.0,60.0,85.0,12.0,FL
2008,Democrat,Low Income,,,Worse,4.0,Same,50.0,30.0,99.0,99.0,99.0,12.0,FL
2008,,Middle Income,Larger,2.0,Worse,5.0,Same,60.0,60.0,70.0,30.0,50.0,12.0,FL
2008,Democrat,Middle Income,Larger,2.0,Worse,4.0,Worse,50.0,70.0,60.0,40.0,50.0,12.0,FL
2008,,Middle Income,Larger,1.0,Same,3.0,Worse,50.0,97.0,85.0,97.0,85.0,12.0,FL
2008,Democrat,Low Income,Larger,1.0,Worse,4.0,Worse,40.0,40.0,70.0,50.0,85.0,12.0,FL
2008,Democrat,Low Income,Larger,1.0,Worse,4.0,Worse,70.0,60.0,70.0,85.0,97.0,12.0,FL
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,4.0,Same,0.0,30.0,97.0,50.0,97.0,12.0,FL
2008,,Low Income,,,Worse,4.0,Same,99.0,99.0,99.0,99.0,99.0,12.0,FL
2008,Republican,Middle Income,Larger,2.0,Worse,4.0,Worse,40.0,60.0,70.0,40.0,70.0,12.0,FL
2008,Democrat,Middle Income,Larger,2.0,Same,3.0,Worse,50.0,70.0,70.0,60.0,97.0,12.0,FL
2008,Republican,Upper Middle Income,Same,3.0,Worse,4.0,Better,40.0,50.0,50.0,40.0,60.0,12.0,FL
2008,Republican,Middle Income,Same,3.0,Worse,5.0,Same,50.0,40.0,50.0,50.0,50.0,12.0,FL
2008,Republican,Middle Income,Larger,1.0,Worse,4.0,Same,70.0,60.0,70.0,40.0,70.0,12.0,FL
2008,Republican,Middle Income,Larger,1.0,Worse,4.0,Worse,30.0,40.0,70.0,40.0,60.0,12.0,FL
2008,Republican,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,40.0,30.0,85.0,30.0,97.0,12.0,FL
2008,Republican,Middle Income,Larger,1.0,Worse,4.0,Worse,40.0,40.0,60.0,50.0,30.0,12.0,FL
2008,,Upper Middle Income,Larger,1.0,Worse,5.0,Same,50.0,40.0,85.0,30.0,60.0,12.0,FL
2008,Democrat,Upper Middle Income,Smaller,4.0,Worse,5.0,Worse,40.0,97.0,85.0,40.0,50.0,12.0,FL
2008,Republican,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,30.0,97.0,40.0,15.0,50.0,12.0,FL
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,4.0,Better,15.0,60.0,97.0,60.0,70.0,12.0,FL
2008,,Upper Middle Income,Larger,1.0,Worse,5.0,Same,30.0,85.0,85.0,50.0,50.0,12.0,FL
2008,,Low Income,,,Worse,5.0,Same,99.0,99.0,99.0,99.0,99.0,12.0,FL
2008,Republican,High Income,Larger,1.0,Worse,4.0,Same,30.0,55.0,70.0,60.0,60.0,12.0,FL
2008,Republican,Low Income,Larger,1.0,Worse,4.0,Same,60.0,85.0,60.0,40.0,85.0,12.0,FL
2008,Democrat,Middle Income,Larger,1.0,Worse,4.0,Worse,30.0,60.0,85.0,70.0,85.0,12.0,FL
2008,,Upper Middle Income,Larger,1.0,Worse,5.0,Same,70.0,15.0,85.0,50.0,70.0,12.0,FL
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Better,50.0,40.0,97.0,40.0,60.0,12.0,FL
2008,Republican,High Income,,,Worse,4.0,Worse,50.0,40.0,50.0,50.0,50.0,12.0,FL
2008,Republican,High Income,Larger,2.0,Worse,5.0,Same,50.0,98.0,85.0,50.0,60.0,12.0,FL
2008,Republican,High Income,Larger,1.0,Worse,5.0,Worse,85.0,70.0,85.0,40.0,85.0,12.0,FL
2008,Republican,Middle Income,Larger,1.0,Worse,5.0,Worse,70.0,85.0,85.0,50.0,97.0,12.0,FL
2008,,Low Income,,,Worse,5.0,Same,99.0,99.0,99.0,99.0,99.0,12.0,FL
2008,Republican,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,85.0,0.0,85.0,40.0,50.0,13.0,GA
2008,Republican,Upper Middle Income,Same,3.0,Worse,4.0,Same,70.0,30.0,70.0,40.0,50.0,13.0,GA
2008,Republican,Middle Income,Larger,2.0,Worse,5.0,Worse,15.0,15.0,70.0,60.0,85.0,13.0,GA
2008,,Middle Income,Larger,2.0,Worse,5.0,Worse,50.0,60.0,70.0,70.0,70.0,13.0,GA
2008,Republican,Low Income,Larger,2.0,Worse,5.0,Worse,40.0,85.0,60.0,60.0,85.0,13.0,GA
2008,Republican,Middle Income,Larger,2.0,Worse,5.0,Worse,60.0,60.0,70.0,60.0,60.0,13.0,GA
2008,Republican,Upper Middle Income,Larger,1.0,Worse,4.0,Same,70.0,0.0,85.0,60.0,60.0,13.0,GA
2008,Republican,Middle Income,Larger,1.0,Worse,5.0,Worse,50.0,98.0,85.0,40.0,70.0,13.0,GA
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,40.0,30.0,70.0,50.0,70.0,13.0,GA
2008,Republican,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,50.0,60.0,50.0,50.0,50.0,13.0,GA
2008,Republican,Middle Income,Larger,2.0,Same,3.0,Worse,85.0,50.0,97.0,30.0,97.0,13.0,GA
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,4.0,Better,30.0,70.0,85.0,70.0,85.0,13.0,GA
2008,Republican,Low Income,Larger,2.0,Same,3.0,Same,85.0,85.0,70.0,97.0,85.0,13.0,GA
2008,,Middle Income,Larger,1.0,Worse,5.0,Worse,30.0,30.0,85.0,50.0,50.0,13.0,GA
2008,,Middle Income,Larger,2.0,Worse,5.0,Same,50.0,50.0,50.0,50.0,50.0,13.0,GA
2008,Republican,Upper Middle Income,Same,3.0,Better,2.0,Worse,70.0,30.0,85.0,40.0,60.0,13.0,GA
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,30.0,60.0,70.0,50.0,60.0,13.0,GA
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,,15.0,85.0,70.0,50.0,70.0,13.0,GA
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,50.0,85.0,85.0,85.0,85.0,13.0,GA
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Better,85.0,85.0,97.0,70.0,97.0,13.0,GA
2008,Democrat,Low Income,Larger,2.0,Worse,5.0,Worse,60.0,60.0,40.0,85.0,97.0,13.0,GA
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Worse,40.0,50.0,97.0,70.0,85.0,13.0,GA
2008,Democrat,Low Income,Same,3.0,Worse,5.0,Same,50.0,60.0,85.0,15.0,50.0,13.0,GA
2008,Democrat,Low Income,,,Worse,4.0,,97.0,85.0,97.0,70.0,85.0,13.0,GA
2008,,Upper Middle Income,Larger,2.0,Worse,5.0,Worse,98.0,60.0,98.0,98.0,98.0,13.0,GA
2008,,Low Income,Larger,1.0,Worse,5.0,Better,97.0,85.0,97.0,50.0,97.0,13.0,GA
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,40.0,60.0,50.0,50.0,50.0,13.0,GA
2008,,Upper Middle Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,13.0,GA
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,5.0,Same,60.0,50.0,85.0,85.0,85.0,13.0,GA
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Same,97.0,70.0,85.0,60.0,97.0,13.0,GA
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Same,40.0,60.0,85.0,60.0,60.0,13.0,GA
2008,,Upper Middle Income,,,Worse,5.0,Better,99.0,99.0,99.0,99.0,99.0,13.0,GA
2008,Republican,Low Income,Larger,1.0,Same,3.0,Same,60.0,15.0,70.0,50.0,70.0,13.0,GA
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,60.0,60.0,85.0,40.0,85.0,13.0,GA
2008,,High Income,,,Worse,5.0,Same,99.0,99.0,99.0,99.0,99.0,13.0,GA
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Worse,50.0,60.0,60.0,60.0,60.0,13.0,GA
2008,,Low Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,13.0,GA
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Same,30.0,97.0,85.0,70.0,85.0,13.0,GA
2008,,High Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,13.0,GA
2008,,Low Income,Smaller,4.0,Worse,4.0,Same,50.0,15.0,70.0,0.0,40.0,13.0,GA
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Same,50.0,70.0,70.0,40.0,70.0,13.0,GA
2008,,Upper Middle Income,Same,3.0,Worse,5.0,Worse,98.0,98.0,98.0,98.0,98.0,13.0,GA
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,5.0,Same,50.0,50.0,50.0,50.0,50.0,13.0,GA
2008,Republican,Middle Income,Same,3.0,Worse,4.0,Worse,60.0,70.0,60.0,70.0,97.0,13.0,GA
2008,,Low Income,Smaller,4.0,Worse,5.0,Worse,30.0,40.0,50.0,30.0,97.0,13.0,GA
2008,,Low Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,13.0,GA
2008,Republican,Middle Income,Smaller,4.0,Worse,4.0,Same,85.0,85.0,85.0,50.0,60.0,13.0,GA
2008,,Upper Middle Income,Same,3.0,Worse,5.0,Better,30.0,50.0,85.0,50.0,60.0,13.0,GA
2008,Republican,Low Income,Same,3.0,Same,3.0,Same,85.0,60.0,97.0,85.0,97.0,13.0,GA
2008,,Middle Income,Larger,1.0,Same,3.0,Same,50.0,60.0,97.0,15.0,50.0,13.0,GA
2008,Republican,Middle Income,Same,3.0,Same,3.0,Same,70.0,30.0,70.0,70.0,70.0,13.0,GA
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Better,70.0,70.0,60.0,70.0,70.0,13.0,GA
2008,,Middle Income,,,Worse,5.0,Same,99.0,99.0,99.0,99.0,99.0,13.0,GA
2008,Republican,Middle Income,Larger,1.0,Worse,5.0,Worse,60.0,98.0,70.0,98.0,70.0,13.0,GA
2008,,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,70.0,15.0,85.0,0.0,50.0,13.0,GA
2008,Democrat,Middle Income,Larger,2.0,Worse,5.0,Same,40.0,50.0,70.0,50.0,50.0,13.0,GA
2008,Republican,Middle Income,Larger,2.0,Same,3.0,Same,40.0,50.0,97.0,60.0,85.0,13.0,GA
2008,Democrat,Middle Income,Larger,2.0,Worse,5.0,Worse,0.0,97.0,70.0,60.0,60.0,13.0,GA
2008,,Low Income,Larger,1.0,Same,3.0,Worse,50.0,40.0,70.0,50.0,70.0,13.0,GA
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,5.0,Same,15.0,50.0,97.0,70.0,97.0,13.0,GA
2008,Republican,Upper Middle Income,Larger,2.0,Worse,4.0,Same,60.0,85.0,97.0,50.0,85.0,13.0,GA
2008,,Upper Middle Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,13.0,GA
2008,Republican,High Income,Smaller,5.0,Better,2.0,Same,50.0,0.0,97.0,1.0,60.0,13.0,GA
2008,,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,60.0,50.0,70.0,15.0,60.0,13.0,GA
2008,Democrat,Middle Income,Larger,2.0,Worse,5.0,Worse,70.0,85.0,85.0,50.0,70.0,13.0,GA
2008,,Low Income,Larger,1.0,Worse,4.0,Worse,30.0,70.0,70.0,50.0,97.0,13.0,GA
2008,Republican,Low Income,Same,3.0,Worse,5.0,Same,60.0,85.0,97.0,30.0,50.0,13.0,GA
2008,Republican,Middle Income,Larger,1.0,Better,2.0,Worse,30.0,0.0,97.0,99.0,50.0,13.0,GA
2008,,Middle Income,Larger,1.0,Worse,5.0,Worse,60.0,85.0,85.0,60.0,85.0,13.0,GA
2008,,Middle Income,Larger,2.0,Worse,5.0,Worse,70.0,85.0,70.0,50.0,50.0,13.0,GA
2008,Democrat,Low Income,Larger,2.0,Same,3.0,Better,80.0,50.0,97.0,40.0,70.0,13.0,GA
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Same,50.0,50.0,85.0,50.0,50.0,13.0,GA
2008,Democrat,Low Income,Same,3.0,Worse,5.0,Same,50.0,50.0,60.0,0.0,0.0,17.0,IL
2008,Democrat,Low Income,Same,3.0,Worse,5.0,Better,85.0,85.0,85.0,60.0,85.0,17.0,IL
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,50.0,97.0,85.0,97.0,97.0,17.0,IL
2008,Democrat,Low Income,Larger,2.0,Same,3.0,Worse,85.0,85.0,60.0,70.0,97.0,17.0,IL
2008,Democrat,Low Income,Same,3.0,Same,3.0,Same,50.0,85.0,97.0,97.0,97.0,17.0,IL
2008,,Low Income,,,Worse,5.0,Better,99.0,99.0,99.0,99.0,99.0,17.0,IL
2008,Democrat,Low Income,Larger,2.0,Worse,5.0,Same,40.0,60.0,60.0,60.0,60.0,17.0,IL
2008,,Middle Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,17.0,IL
2008,,Middle Income,Larger,1.0,Worse,5.0,Same,15.0,70.0,50.0,85.0,85.0,17.0,IL
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,50.0,70.0,97.0,70.0,97.0,17.0,IL
2008,Democrat,Middle Income,Larger,2.0,Worse,4.0,Better,30.0,85.0,70.0,70.0,50.0,17.0,IL
2008,Democrat,Low Income,Smaller,5.0,Worse,4.0,Same,97.0,85.0,97.0,97.0,97.0,17.0,IL
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,70.0,80.0,70.0,50.0,80.0,17.0,IL
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Worse,15.0,65.0,70.0,80.0,70.0,17.0,IL
2008,,Upper Middle Income,Larger,2.0,Worse,5.0,Worse,40.0,50.0,70.0,85.0,50.0,17.0,IL
2008,Democrat,Upper Middle Income,Smaller,4.0,Worse,5.0,Better,70.0,70.0,80.0,70.0,85.0,17.0,IL
2008,Democrat,Low Income,Larger,1.0,Worse,4.0,Same,30.0,40.0,70.0,50.0,50.0,17.0,IL
2008,Democrat,Upper Middle Income,Larger,1.0,Better,2.0,Worse,60.0,50.0,85.0,60.0,85.0,17.0,IL
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,5.0,Same,60.0,85.0,70.0,50.0,70.0,17.0,IL
2008,Democrat,Upper Middle Income,Larger,1.0,Worse,5.0,Better,0.0,85.0,85.0,60.0,70.0,17.0,IL
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Worse,50.0,60.0,85.0,50.0,85.0,17.0,IL
2008,Democrat,Upper Middle Income,Larger,2.0,Worse,5.0,Worse,50.0,70.0,85.0,97.0,97.0,17.0,IL
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Better,40.0,70.0,70.0,85.0,85.0,17.0,IL
2008,Democrat,Middle Income,Same,3.0,Worse,5.0,Worse,50.0,60.0,70.0,60.0,60.0,17.0,IL
2008,Republican,Low Income,Larger,1.0,Worse,5.0,Worse,50.0,85.0,85.0,60.0,70.0,18.0,IN
2008,,Low Income,,,Worse,5.0,Better,99.0,99.0,99.0,99.0,99.0,18.0,IN
2008,,Middle Income,Same,3.0,Same,3.0,Worse,30.0,0.0,70.0,50.0,50.0,18.0,IN
2008,,Low Income,Same,3.0,Worse,5.0,Worse,50.0,60.0,85.0,40.0,97.0,18.0,IN
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Same,30.0,70.0,85.0,70.0,85.0,18.0,IN
2008,,Middle Income,Larger,1.0,Worse,4.0,Better,50.0,50.0,60.0,60.0,60.0,18.0,IN
2008,Republican,Low Income,Larger,1.0,Worse,5.0,Worse,40.0,50.0,50.0,50.0,60.0,18.0,IN
2008,Democrat,Low Income,Larger,2.0,Worse,5.0,Worse,85.0,97.0,97.0,70.0,97.0,18.0,IN
2008,Democrat,Upper Middle Income,Same,3.0,Worse,5.0,Worse,97.0,97.0,97.0,50.0,97.0,18.0,IN
2008,,Low Income,Larger,1.0,Worse,5.0,Worse,50.0,97.0,50.0,50.0,97.0,18.0,IN
2008,Democrat,Middle Income,Larger,2.0,Worse,5.0,Same,40.0,60.0,85.0,40.0,40.0,18.0,IN
2008,Republican,Low Income,Larger,1.0,Worse,5.0,Worse,85.0,70.0,85.0,85.0,97.0,18.0,IN
2008,,Low Income,Larger,1.0,Worse,5.0,Worse,40.0,70.0,70.0,60.0,70.0,18.0,IN
2008,Republican,Middle Income,Same,3.0,Same,3.0,Same,75.0,0.0,75.0,60.0,75.0,18.0,IN
2008,Democrat,Middle Income,Larger,1.0,Worse,4.0,Worse,50.0,60.0,50.0,50.0,50.0,18.0,IN
2008,Republican,Low Income,Larger,1.0,Worse,5.0,Worse,30.0,70.0,85.0,60.0,70.0,18.0,IN
2008,,Low Income,,,Worse,4.0,Worse,99.0,99.0,99.0,99.0,99.0,18.0,IN
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Worse,60.0,70.0,85.0,40.0,70.0,18.0,IN
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Same,60.0,97.0,85.0,70.0,70.0,18.0,IN
2008,,Low Income,Larger,1.0,Worse,5.0,Worse,30.0,50.0,85.0,70.0,85.0,18.0,IN
2008,,Low Income,Larger,1.0,Worse,5.0,Worse,30.0,97.0,85.0,98.0,85.0,18.0,IN
2008,,Middle Income,,,Worse,5.0,Same,99.0,99.0,99.0,99.0,99.0,18.0,IN
2008,Republican,Middle Income,Larger,1.0,Worse,5.0,Worse,50.0,50.0,50.0,50.0,97.0,18.0,IN
2008,,Middle Income,Larger,1.0,Worse,5.0,Same,50.0,0.0,97.0,50.0,70.0,18.0,IN
2008,,Low Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,18.0,IN
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Same,60.0,70.0,85.0,50.0,60.0,18.0,IN
2008,Democrat,Low Income,Larger,2.0,Worse,4.0,Better,50.0,85.0,85.0,85.0,85.0,18.0,IN
2008,,Middle Income,Smaller,4.0,Worse,5.0,Worse,50.0,50.0,50.0,50.0,50.0,18.0,IN
2008,,Middle Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,18.0,IN
2008,Democrat,Low Income,Larger,2.0,Worse,5.0,Worse,50.0,97.0,85.0,85.0,97.0,18.0,IN
2008,Democrat,Low Income,Larger,2.0,Worse,4.0,Same,50.0,50.0,98.0,98.0,98.0,18.0,IN
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Better,70.0,50.0,97.0,97.0,97.0,18.0,IN
2008,,Low Income,Larger,1.0,Worse,5.0,Better,50.0,70.0,70.0,50.0,85.0,18.0,IN
2008,Democrat,Low Income,Same,3.0,Worse,5.0,Same,70.0,70.0,85.0,85.0,97.0,18.0,IN
2008,,Low Income,Same,3.0,Same,3.0,Worse,40.0,15.0,97.0,97.0,97.0,18.0,IN
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Worse,60.0,50.0,70.0,60.0,60.0,18.0,IN
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,0.0,60.0,70.0,85.0,97.0,18.0,IN
2008,,Middle Income,Larger,1.0,Worse,4.0,Worse,85.0,85.0,85.0,40.0,85.0,18.0,IN
2008,,Low Income,Larger,2.0,Worse,5.0,Same,97.0,85.0,97.0,0.0,97.0,18.0,IN
2008,,Low Income,Larger,1.0,Worse,4.0,Better,40.0,70.0,97.0,85.0,85.0,18.0,IN
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Worse,15.0,70.0,97.0,70.0,85.0,18.0,IN
2008,Democrat,Low Income,Larger,1.0,Worse,4.0,Same,60.0,85.0,98.0,50.0,97.0,18.0,IN
2008,,Middle Income,Larger,1.0,Worse,5.0,Better,40.0,30.0,60.0,30.0,40.0,18.0,IN
2008,,Middle Income,Larger,2.0,Worse,4.0,Same,15.0,97.0,50.0,60.0,50.0,18.0,IN
2008,,Low Income,,,Worse,4.0,Same,99.0,99.0,99.0,99.0,99.0,18.0,IN
2008,Democrat,Middle Income,Larger,1.0,Worse,4.0,Worse,40.0,30.0,70.0,40.0,60.0,18.0,IN
2008,,Middle Income,Larger,2.0,Worse,4.0,Same,98.0,98.0,70.0,60.0,85.0,18.0,IN
2008,,Low Income,Larger,2.0,Worse,4.0,Worse,70.0,40.0,40.0,60.0,85.0,18.0,IN
2008,Republican,Middle Income,Same,3.0,Same,3.0,,70.0,30.0,60.0,60.0,70.0,18.0,IN
2008,Republican,Middle Income,Larger,2.0,Worse,4.0,Same,85.0,60.0,85.0,50.0,85.0,18.0,IN
2008,Republican,Low Income,Larger,2.0,Same,3.0,Same,60.0,30.0,85.0,60.0,85.0,18.0,IN
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,98.0,97.0,85.0,85.0,85.0,18.0,IN
2008,,Middle Income,Larger,2.0,Worse,5.0,Same,40.0,85.0,40.0,50.0,60.0,18.0,IN
2008,,Low Income,Larger,1.0,Worse,5.0,Worse,60.0,70.0,85.0,70.0,70.0,20.0,KS
2008,,Low Income,Larger,1.0,Worse,5.0,Same,50.0,50.0,60.0,50.0,70.0,20.0,KS
2008,Democrat,Middle Income,Larger,1.0,Same,3.0,Same,30.0,60.0,70.0,40.0,60.0,20.0,KS
2008,Republican,Low Income,Larger,2.0,Worse,5.0,,60.0,70.0,85.0,60.0,60.0,20.0,KS
2008,,Middle Income,Larger,1.0,Better,2.0,Better,85.0,50.0,85.0,60.0,50.0,20.0,KS
2008,,Low Income,Larger,1.0,Worse,4.0,Same,98.0,75.0,80.0,75.0,75.0,20.0,KS
2008,,Low Income,,,Worse,5.0,Worse,99.0,99.0,99.0,99.0,99.0,20.0,KS
2008,,Middle Income,Same,3.0,Better,2.0,Worse,70.0,15.0,50.0,40.0,50.0,20.0,KS
2008,,Middle Income,Larger,2.0,Worse,4.0,Better,70.0,97.0,50.0,15.0,40.0,20.0,KS
2008,,Low Income,Larger,2.0,Same,3.0,Better,40.0,60.0,50.0,50.0,50.0,20.0,KS
2008,,Middle Income,,,,,Worse,99.0,99.0,99.0,99.0,99.0,20.0,KS
2008,,Upper Middle Income,Larger,1.0,Worse,5.0,Worse,40.0,60.0,60.0,40.0,70.0,20.0,KS
2008,Republican,Low Income,Larger,1.0,Worse,5.0,Worse,30.0,40.0,70.0,50.0,50.0,20.0,KS
2008,Republican,Low Income,Larger,1.0,Worse,4.0,Worse,60.0,97.0,85.0,60.0,50.0,20.0,KS
2008,Republican,Low Income,Same,3.0,Worse,4.0,Same,50.0,40.0,50.0,40.0,50.0,20.0,KS
2008,Republican,Middle Income,Larger,2.0,Same,3.0,Same,40.0,40.0,85.0,50.0,85.0,20.0,KS
2008,Democrat,Upper Middle Income,Larger,2.0,Worse,4.0,Same,15.0,70.0,60.0,40.0,60.0,20.0,KS
2008,Republican,Middle Income,Same,3.0,Worse,5.0,Worse,40.0,30.0,85.0,40.0,50.0,20.0,KS
2008,Republican,Upper Middle Income,Smaller,4.0,Worse,4.0,Worse,70.0,40.0,80.0,40.0,80.0,20.0,KS
2008,Democrat,Middle Income,Larger,2.0,Same,3.0,Better,60.0,40.0,85.0,50.0,30.0,20.0,KS
2008,,Middle Income,Same,3.0,Worse,4.0,Same,60.0,15.0,70.0,60.0,70.0,20.0,KS
2008,,Middle Income,Larger,1.0,Worse,4.0,Same,30.0,30.0,97.0,50.0,97.0,20.0,KS
2008,Democrat,Middle Income,Larger,1.0,Same,3.0,Same,50.0,50.0,50.0,40.0,50.0,20.0,KS
2008,Democrat,Middle Income,Larger,1.0,Worse,5.0,Same,70.0,97.0,97.0,50.0,97.0,20.0,KS
2008,,High Income,,,Same,3.0,Same,99.0,99.0,99.0,99.0,99.0,20.0,KS
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Worse,40.0,70.0,70.0,60.0,70.0,20.0,KS
2008,Republican,Upper Middle Income,Larger,1.0,Same,3.0,Same,70.0,0.0,85.0,70.0,70.0,20.0,KS
2008,,Low Income,,,Same,3.0,Worse,99.0,99.0,99.0,99.0,99.0,22.0,LA
2008,Democrat,Low Income,Same,3.0,Worse,4.0,Better,97.0,75.0,50.0,97.0,0.0,22.0,LA
2008,Democrat,Low Income,Larger,1.0,Worse,5.0,Better,85.0,98.0,50.0,30.0,80.0,22.0,LA
